Indicador,Nombre Indicador,Clave área geográfica,Entidad,Municipio,Periodo,Valor,Excepción,Unidad de medida,Frecuencia,Information Status,Referencias
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/09,106.0607392,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/08,108.9485675,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/07,107.5251039,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/06,109.9618138,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/05,109.062647,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/04,107.2928378,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/03,105.9086719,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/02,104.5802842,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2016/01,104.4190511,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2015/12,109.263177,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2015/11,109.0992811,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2015/10,109.2946932,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2015/09,105.022897,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2015/08,105.4826832,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2015/07,107.4600369,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
